year,tree,modalidad,area,carrera,campus,codigo,oferta,aspirantes,presentaron_examen,aciertos_minimos,seleccionados
2021,licenciatura,escolarizado,4,LENGUA Y LITERATURAS MODERNAS (LETRAS PORTUGUESAS),FACULTAD DE FILOSOFÍA Y LETRAS,43000105,19,17,13,42,11
2021,licenciatura,escolarizado,4,LETRAS CLASICAS,FACULTAD DE FILOSOFÍA Y LETRAS,41900105,20,77,61,76,20
2021,licenciatura,escolarizado,4,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",43900425,20,109,73,78,23
2021,licenciatura,escolarizado,4,LITERATURA DRAMATICA Y TEATRO,FACULTAD DE FILOSOFÍA Y LETRAS,42000105,32,448,381,92,35
2021,licenciatura,escolarizado,4,LITERATURA INTERCULTURAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,43207005,34,40,34,46,33
2021,licenciatura,escolarizado,4,MUSICA Y TECNOLOGIA ARTISTICA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,43807005,20,91,45,53,30
2021,licenciatura,escolarizado,4,PEDAGOGIA,FACULTAD DE FILOSOFÍA Y LETRAS,42100105,150,1656,1434,70,158
2021,licenciatura,abierta,4,PEDAGOGIA,FACULTAD DE FILOSOFÍA Y LETRAS,42100106,50,326,231,62,54
2021,licenciatura,escolarizado,4,PEDAGOGIA,FES ACATLÁN,42102005,85,1336,1167,71,87
2021,licenciatura,escolarizado,4,PEDAGOGIA,FES ARAGÓN,42104005,150,1880,1656,66,157
2021,licenciatura,escolarizado,4,PIANO,FACULTAD DE MÚSICA,42200135,33,38,25,44,20
2021,licenciatura,escolarizado,4,TEATRO Y ACTUACION,FACULTAD DE MÚSICA,43600135,180,838,681,70,180
2021,licenciatura,escolarizado,4,TRADUCCION,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",44000425,15,864,619,109,18
2021,licenciatura,escolarizado,4,TRADUCCION,"SAN MIGUEL DE ALLENDE, GUANAJUATO",44000305,27,55,38,57,28
2021,suayed,suayed,2,PSICOLOGIA,FES IZTACALA,21003006,600,3049,1872,60,634
2021,suayed,suayed,3,ADMINISTRACION,FACULTAD DE CONTADURÍA Y ADMINISTRACIÓN,30100066,170,2467,1492,78,170
2021,suayed,suayed,3,CIENCIAS DE LA COMUNICACION,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,30200046,230,474,304,46,230
2021,suayed,suayed,3,CIENCIAS POLITICAS Y ADMON PUBLICA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,30300046,200,479,289,48,207
2021,suayed,suayed,3,CONTADURIA,FACULTAD DE CONTADURÍA Y ADMINISTRACIÓN,30400066,185,2032,1249,77,195
2021,suayed,suayed,3,DERECHO,FACULTAD DE DERECHO,30500076,725,2688,1684,57,740
2021,suayed,suayed,3,ECONOMIA,FACULTAD DE ECONOMÍA,30600086,230,785,438,64,243
2021,suayed,suayed,3,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,31000046,140,655,393,65,141
2021,suayed,suayed,3,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,31100046,145,258,152,40,146
2021,suayed,suayed,3,TRABAJO SOCIAL,ESCUELA NACIONAL DE TRABAJO SOCIAL,31200156,142,775,543,53,160
2021,suayed,suayed,4,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,ESC. NACIONAL DE ESTUDIOS SUP. UNIDAD MORELIA,43707006,119,131,84,40,66
2021,suayed,suayed,4,BIBLIOTECOLOGIA Y ESTUDIOS DE LA INFORMACION,FACULTAD DE FILOSOFÍA Y LETRAS,40200106,49,68,47,40,43
2021,suayed,suayed,4,DISEÑO Y COMUNICACION VISUAL,FES CUAUTITLÁN,40501006,142,1310,900,76,148
2021,suayed,suayed,4,ENSEÑANZA DE ALEMAN COMO LENGUA EXTRANJERA,FES ACATLÁN,42402006,39,21,8,41,8
2021,suayed,suayed,4,ENSEÑANZA DE ESPAÑOL COMO LENGUA EXTRANJERA,FES ACATLÁN,42502006,99,141,77,40,74
2021,suayed,suayed,4,ENSEÑANZA DE FRANCES COMO LENGUA EXTRANJERA,FES ACATLÁN,42602006,39,39,22,41,14
2021,suayed,suayed,4,ENSEÑANZA DE INGLES COMO LENGUA EXTRANJERA,FES ACATLÁN,42702006,99,458,212,56,108
2021,suayed,suayed,4,ENSEÑANZA DE ITALIANO COMO LENGUA EXTRANJERA,FES ACATLÁN,42802006,39,17,10,42,8
2021,suayed,suayed,4,PEDAGOGIA,FACULTAD DE FILOSOFÍA Y LETRAS,42100106,245,1312,876,61,248
2022,licenciatura,escolarizado,1,ACTUARIA,FACULTAD DE CIENCIAS,10100035,56,1078,896,105,59
2022,licenciatura,escolarizado,1,ACTUARIA,FES ACATLÁN,10102005,51,481,423,93,53
2022,licenciatura,escolarizado,1,ARQUITECTURA,FACULTAD DE ARQUITECTURA,10200015,250,5160,4448,90,270
2022,licenciatura,escolarizado,1,ARQUITECTURA,FES ACATLÁN,10202005,86,1650,1425,78,91
2022,licenciatura,escolarizado,1,ARQUITECTURA,FES ARAGÓN,10204005,95,1988,1798,77,102
